STATION,NAME,DATE,TAVG
VNM00048820,"NOIBAI INTERNATIONAL, VN",8/28/2017,85
VNM00048820,"NOIBAI INTERNATIONAL, VN",8/29/2017,79
VNM00048820,"NOIBAI INTERNATIONAL, VN",8/30/2017,80
VNM00048820,"NOIBAI INTERNATIONAL, VN",8/31/2017,85
VNM00048820,"NOIBAI INTERNATIONAL, VN",9/1/2017,86
VNM00048820,"NOIBAI INTERNATIONAL, VN",9/2/2017,87
VNM00048820,"NOIBAI INTERNATIONAL, VN",9/3/2017,83
VNM00048820,"NOIBAI INTERNATIONAL, VN",9/4/2017,83
VNM00048820,"NOIBAI INTERNATIONAL, VN",9/5/2017,83
VNM00048820,"NOIBAI INTERNATIONAL, VN",9/6/2017,85
VNM00048820,"NOIBAI INTERNATIONAL, VN",9/7/2017,82
VNM00048820,"NOIBAI INTERNATIONAL, VN",9/8/2017,81
VNM00048820,"NOIBAI INTERNATIONAL, VN",9/9/2017,81
VNM00048820,"NOIBAI INTERNATIONAL, VN",9/10/2017,83
VNM00048820,"NOIBAI INTERNATIONAL, VN",9/11/2017,81
VNM00048820,"NOIBAI INTERNATIONAL, VN",9/12/2017,83
VNM00048820,"NOIBAI INTERNATIONAL, VN",9/13/2017,85
VNM00048820,"NOIBAI INTERNATIONAL, VN",9/14/2017,85
VNM00048820,"NOIBAI INTERNATIONAL, VN",9/15/2017,80
VNM00048820,"NOIBAI INTERNATIONAL, VN",9/16/2017,77
VNM00048820,"NOIBAI INTERNATIONAL, VN",9/17/2017,84
VNM00048820,"NOIBAI INTERNATIONAL, VN",9/18/2017,87
VNM00048820,"NOIBAI INTERNATIONAL, VN",9/19/2017,87
VNM00048820,"NOIBAI INTERNATIONAL, VN",9/20/2017,85
VNM00048820,"NOIBAI INTERNATIONAL, VN",9/21/2017,86
VNM00048820,"NOIBAI INTERNATIONAL, VN",9/22/2017,83
VNM00048820,"NOIBAI INTERNATIONAL, VN",9/23/2017,84
VNM00048820,"NOIBAI INTERNATIONAL, VN",9/24/2017,86
VNM00048820,"NOIBAI INTERNATIONAL, VN",9/25/2017,80
VNM00048820,"NOIBAI INTERNATIONAL, VN",9/26/2017,84
VNM00048820,"NOIBAI INTERNATIONAL, VN",9/27/2017,85
VNM00048820,"NOIBAI INTERNATIONAL, VN",9/28/2017,87
VNM00048820,"NOIBAI INTERNATIONAL, VN",9/29/2017,83
VNM00048820,"NOIBAI INTERNATIONAL, VN",9/30/2017,82
VNM00048820,"NOIBAI INTERNATIONAL, VN",10/1/2017,84
VNM00048820,"NOIBAI INTERNATIONAL, VN",10/2/2017,85
VNM00048820,"NOIBAI INTERNATIONAL, VN",10/3/2017,80
VNM00048820,"NOIBAI INTERNATIONAL, VN",10/4/2017,80
VNM00048820,"NOIBAI INTERNATIONAL, VN",10/5/2017,81
VNM00048820,"NOIBAI INTERNATIONAL, VN",10/6/2017,80
VNM00048820,"NOIBAI INTERNATIONAL, VN",10/7/2017,79
VNM00048820,"NOIBAI INTERNATIONAL, VN",10/8/2017,82
VNM00048820,"NOIBAI INTERNATIONAL, VN",10/9/2017,84
VNM00048820,"NOIBAI INTERNATIONAL, VN",10/10/2017,81
VNM00048820,"NOIBAI INTERNATIONAL, VN",10/11/2017,77
VNM00048820,"NOIBAI INTERNATIONAL, VN",10/12/2017,81
VNM00048820,"NOIBAI INTERNATIONAL, VN",10/13/2017,78
VNM00048820,"NOIBAI INTERNATIONAL, VN",10/14/2017,80
VNM00048820,"NOIBAI INTERNATIONAL, VN",10/15/2017,80
VNM00048820,"NOIBAI INTERNATIONAL, VN",10/16/2017,69
VNM00048820,"NOIBAI INTERNATIONAL, VN",10/17/2017,71
VNM00048820,"NOIBAI INTERNATIONAL, VN",10/18/2017,70
VNM00048820,"NOIBAI INTERNATIONAL, VN",10/19/2017,76
VNM00048820,"NOIBAI INTERNATIONAL, VN",10/20/2017,79
VNM00048820,"NOIBAI INTERNATIONAL, VN",10/21/2017,77
VNM00048820,"NOIBAI INTERNATIONAL, VN",10/22/2017,76
VNM00048820,"NOIBAI INTERNATIONAL, VN",10/23/2017,74
VNM00048820,"NOIBAI INTERNATIONAL, VN",10/24/2017,75
VNM00048820,"NOIBAI INTERNATIONAL, VN",10/25/2017,78
VNM00048820,"NOIBAI INTERNATIONAL, VN",10/26/2017,77
VNM00048820,"NOIBAI INTERNATIONAL, VN",10/27/2017,79
VNM00048820,"NOIBAI INTERNATIONAL, VN",10/28/2017,80
VNM00048820,"NOIBAI INTERNATIONAL, VN",10/29/2017,77
VNM00048820,"NOIBAI INTERNATIONAL, VN",10/30/2017,73
VNM00048820,"NOIBAI INTERNATIONAL, VN",10/31/2017,71
VNM00048820,"NOIBAI INTERNATIONAL, VN",11/1/2017,72
VNM00048820,"NOIBAI INTERNATIONAL, VN",11/2/2017,74
VNM00048820,"NOIBAI INTERNATIONAL, VN",11/3/2017,78
VNM00048820,"NOIBAI INTERNATIONAL, VN",11/4/2017,77
VNM00048820,"NOIBAI INTERNATIONAL, VN",11/5/2017,72
VNM00048820,"NOIBAI INTERNATIONAL, VN",11/6/2017,73
VNM00048820,"NOIBAI INTERNATIONAL, VN",11/7/2017,71
VNM00048820,"NOIBAI INTERNATIONAL, VN",11/8/2017,76
VNM00048820,"NOIBAI INTERNATIONAL, VN",11/9/2017,71
VNM00048820,"NOIBAI INTERNATIONAL, VN",11/10/2017,77
VNM00048820,"NOIBAI INTERNATIONAL, VN",11/11/2017,78
VNM00048820,"NOIBAI INTERNATIONAL, VN",11/12/2017,77
VNM00048820,"NOIBAI INTERNATIONAL, VN",11/13/2017,79
VNM00048820,"NOIBAI INTERNATIONAL, VN",11/14/2017,80
VNM00048820,"NOIBAI INTERNATIONAL, VN",11/15/2017,79
VNM00048820,"NOIBAI INTERNATIONAL, VN",11/16/2017,80
VNM00048820,"NOIBAI INTERNATIONAL, VN",11/17/2017,83
VNM00048820,"NOIBAI INTERNATIONAL, VN",11/18/2017,75
VNM00048820,"NOIBAI INTERNATIONAL, VN",11/19/2017,67
